,帖子内容,发布时间
127,"NG世界地图集世界史NG世界地图集各版细节对比第三、四、五、六版国家地理世界地图集，分别出版于1970、1975、1981和1990年。图中用绿色阴影代表以色列占领区，经典红色文字作为补充说明。第三版地图(1970,图一)1967年,以色列在“六日战争”中占领包括西奈半岛在内的多个阿拉伯国家部分领土（仅文字说明）。第四版地图(1975,图二)中可以看到1974年1月18日非接触协议生效后，以色列军队撤离到LineA的情况。1979年，埃以双方根据1978年的戴维营协议，签署了和平条约。条约规定以色列正式把西奈半岛归还给埃及（加沙仍归以色列所管）。撤离过程在第五版地图(1981,图三)中有所体现。1982年，以色列完成撤军。第六版地图(1990,图四)中西奈半岛全境为埃及领土。@红袍萤火虫VIII@Frank子垚@baiqitun_cn@雪山上空的鹰",2020-05-17 19:23
128,【中方呼吁巴以冲突方立即实现人道休战】当地时间30日下午，联合国安理会应中国和阿联酋的要求召开巴以局势紧急公开会。会上，中方对巴以冲突提出4个郑重呼吁：①中方郑重呼吁冲突方停止一切敌对行动，立即脱离接触，实现人道休战，全力防止局势进一步升级。②中方郑重呼吁以色列作为占领方履行国际人道法义务，解除对加沙的全面封锁，立即撤销紧急疏散令，尽快恢复基本生存物资供应，防止更大规模人道灾难。③中方郑重呼吁加大外交努力，推动被扣押人员尽快获释，并争取由此开辟对话空间，让危机重回政治解决轨道。④中方郑重呼吁对当事方有独特影响的大国，摒弃自身私利和地缘政治考量，为制止战争、恢复和平作出一切努力。中国常驻联合国代表张军表示，如果没有全面停火，再多的人道援助都是杯水车薪。“加沙民众需要的，不只是安理会重申国际人道法的重要性，重复无法兑现的保护承诺，而是恢复和平、维护法治、拯救生命的切实行动。”“此时此刻，沉默意味着默许，不作为无异于开绿灯。全世界的目光正望向这里，历史将记录我们的选择。”@CCTV国际时讯LCCTV国际时讯的微博视频,2023-10-31 23:33
129,@汪海林痛斥“一句话概括全剧”，全程高能L影视独舌的微博视频,2023-10-30 18:06
130,和妹妹告别：巴勒斯坦加沙L藤原小直的微博视频,2023-10-31 20:43
131,犹太人动不动说3000年前这块地是他们的，实际上3000年前是这样,2023-10-20 10:34
132,10月12日，“我站在文明的一边——以色列”，你们怎么“都站在文明的对立面”。10月24日，“你们怎么仇恨以色列”？10月30日，“虽然全世界都在批评以色列，但是他们是善意的批评，你们简中人是无脑充满恶意的批评。”为什么有这种转变？因为发现了全世界现在都在批评以色列，但是还是想借机骂中国人。,2023-10-30 19:53
133,减少交流，就是避免消耗。交流，只在一定范围内必要和有效。普通人，没有必要和十四亿人交流。互联网社会是我们的交流圈变得无限宽广，你甚至可以越过这十四亿人和地球上任何一个被网络覆盖的地球人交流。人们也在尝试和享受这样的交流，这让人们有一种无论如何平凡卑微都可以坐地遨游全世界，并参与地球建设和参与人类精神改造的神奇感受。匮乏使人格外想要获得力量，如果不是真的获得，那么，仿佛获得感觉也不错。有一些人确实赚得盆满钵满，有些人则获得蝇头小利，例如五毛。还有一些，获得了这种仿佛参与和掌控全球人喜怒哀乐的虚幻力量以及因自身匮乏而格外或缺的情绪价值。盆满钵满的大多是非常落地的现实主义者和行动派。顺应潮流是一种智慧，能看到时代商机并从中获益，都是头脑聪明的人。但君子爱财取之有道，借互联网这个道无可厚非。如果这当中混杂了很多坑蒙拐骗就属于道德和法律的禁地，这个问题复杂，不好一概而论，总体他们是互联网时代的最大受益者。后两种情形，五毛和情绪价值获得者，终将回到现实中。最终发现，仿佛每天参与改造全球及全球人精神世界的企图和幻觉如同一个笑话，生活一定会将你打回原形。骂完李玟的老公，操心完俄乌冲突，巴以冲突，喷完李连杰和成龙李亚鹏，又为汪峰章子怡离婚的事操碎了心，仿佛酒足饭饱，凯旋而归，却发现真的到了饭点。老二嗷嗷待哺，老大的运动鞋也该买了，宽带的费用还得自己交，老板催的账单还没有收回，客户的挑剔还得忍，儿子的家长会没去还得向班主任解释，老婆发现老公的臭袜子随手丢，还得捡，老公生气老婆的手机坏了又是一笔开销，邻居的狗子在门口拉了你还得假装不介意，地上到处都是头发需要清扫，粉底液也盖不住你卡粉的脸，宽大的外套也盖不住你的啤酒肚，老板该骂你还是骂你，骂完了川普还是不敢跟村长顶嘴……日子具体又琐碎，生活并没有因为你为这个世界操碎了心，和地球人挨个交流，把心操到外太空，骂了一大串名人，而敬你一尺，饶你一分，它们只会让你感到更加渺小和空虚。早安，自己。天亮得越来越晚。我要下楼锻炼啦。伸伸胳膊踢踢腿，弯腰开背美哒哒。和外部世界的交流不是我的需求，更不是我现阶段的人生主题。🙈🙉🙊🙅你，确定你真的需要那么多交流和参与吗？🤓,2023-10-29 06:39
134,【加沙儿童向普京发出呼吁】近日，来自加沙地带的儿童录制了一段视频，他们向俄罗斯总统普京发出呼吁，恳求其帮助停止针对巴勒斯坦人民的战争。录音中可以听到轰炸和炮击声。巴勒斯坦儿童向普京求救以色列称坚决拒绝停火L今日俄罗斯RT的微博视频,2023-10-30 14:09
135,B乎用户打铁烧砖那里看来的，在昨晚空袭中遇难的华西医院的老师为巴勒斯坦籍，在成都读了10年本博连读，放弃欧美多家大医院的聘请，回到自己的祖国。昨晚遇难……,2023-10-18 17:48
136,朋友们那个加沙所有学生殉难的转发微博我先转己见了，再等等可靠信源，我真的希望是假新闻,2023-10-29 14:51
137,关于巴以冲突，个人建议不要代入太深。这不是第一次冲突，而是第N次冲突。冲突背后的背景和缘由，非常复杂，不是你我能够完全理解的。加沙普通民众遭遇炮火袭击，非常可怜，不过哈马斯也没闲着，时不时向以色列发射炮火，只不过由于以色列有铁穹防卫系统，所以没有像加沙那样曝出大规模平民伤害事件。这样一个悲惨的事件，主要不是为了让我们来情绪泛滥或者爱心泛滥，而主要是为了让我们看清这个世界的本质和真相，即这是一个弱肉强食的世界。以色列的地面行动，好像已经开始。估计下一步，会发生更多伤害事件。对此，你能怎么办？连阿拉伯世界国家都没动，你能怎么办。我讲这些，不是冷血，而是说你确实做不了什么。而且，他们之间的矛盾和冲突，是双向的。巴勒斯坦现在之所以比较惨，是因为他是弱者。如果转换一下，假设以色列是弱者的话，以色列也同样会受到现如今跟巴勒斯坦一样的惨状。在1947年联合国决议通过的时候，阿拉伯国家不认，集结大军去打以色列，差点把以色列彻底打没。零和博弈，便是这么惨烈。我们要感谢我们的老祖宗，给我们留下这么大一块地盘，且是这么大一块肥沃、宜居的地盘。在这个地球上，能有这么好地盘的国家，只有两个。一个是中国，一个是美国。虽然俄罗斯和加拿大的地理面积也非常大，但是他们的位置太靠北，冷的要死。既不适合种植，也不适合生活。我们的老祖宗，把血和泪的历史，留在了过去，把这么大一块优质的地盘，留给了我们，我们应该感到庆幸。我们的地盘，又好又大且干净，不像美国人的地盘，由于所获历史太短，是从别人手里抢来的，直到现在还一直被人指责。像巴以冲突这种事，过去发生，现在发生，将来也会发生。这是地球动物圈的生存法则，人类也难以幸免。我们要做的，便是强大自己，让这个星球上的其他族群，不敢欺负我们。我们可以同情他们，但是不要太情绪泛滥或者爱心泛滥。他们之间的矛盾和冲突，太难化解。只能说，各有各的命，我们建设好自己最重要。,2023-10-31 00:41
138,哈马斯武装没有任何从正面战场取胜的机会，只能采取游击战麻雀战的方式，寄希望暗中给予以军较大的杀伤（渺茫），寄希望能拖延以军的进攻时间，寄希望严重的人道主义灾难导致的强大国际压力来迫使以军结束进攻。以往几次巴以冲突，大致也都是这样的结局。最后死的人足够多的时候，这次战争就结束了。然后双方擦干鼻血，转身再战。即使以色列铲除了哈马斯武装，随后还会有更极端的组织继承哈马斯的路线。这是个死结，无解的。巴以冲突,2023-10-30 11:10
139,俄新社记者驱车加沙拍摄到的画面，以色列空袭对居民区带来的破坏触目惊心。L孤烟暮蝉的微博视频,2023-10-31 18:11
140,这个视频是在一个月前的加沙美丽的毕业典礼上拍摄的。我们所有人都有梦想和抱负，但以色列摧毁了我们的梦想，他们轰炸了大学，杀害了许多学生，摧毁了他们的家园，夺去了他们的亲人和孩子们的生命，摧毁了一切。尽管如此，我们仍然对美好和光明的未来抱有希望。🇵🇸🇵🇸巴以冲突巴勒斯坦加沙L巴勒斯坦在华留学生的微博视频,2023-10-31 20:12
141,【2万亿元→3万亿元，仅用时4年！他们，向着这一新目标迈进！】近期，重磅会议接连部署“新型工业化”，使之成为制造业、互联网及科技企业之间高频探讨的热点话题。我国的新型工业化是依靠自主创新驱动的工业化，也是坚持高水平对外开放的工业化。只有积极开拓海外市场，参与国际竞争，多维度交流合作，不断向全球价值链高端攀升。作为中国新型工业化企业的代表，小米等中国硬核科技公司为新型工业化注入更多活力，成为中国科技企业出海的一张闪亮名片。O以智能制造撬动新型工业化，中国科技企业迈出新步伐,2023-10-19 10:11
142,射雕英雄传第139集致敬经典射雕英雄传大结局L热播剧谈的微博视频,2021-09-21 20:35
143,【半岛电视台加沙分社社长妻儿等在空袭中遇难，该媒体发声明谴责以军】据卡塔尔半岛电视台25日报道，该媒体阿拉伯语加沙分社社长瓦尔·达杜赫的妻子、儿子、女儿和孙子在以色列发起的空袭中遇难。据报道，半岛电视台播出一段镜头，瓦尔·达杜赫周三（25日）在医院太平间看到他已经去世的妻子、儿子和女儿。他蹲下身子，抚摸他15岁儿子的脸，他儿子的梦想是长大，像他一样也能成为一名记者。达杜赫还抱起他7岁女儿的尸体，对着她满是血迹的脸，似乎在说着什么。报道称，走出医院时，满脸震惊的达杜赫对半岛电视台镜头说，“发生的事情非常清楚。这是对儿童、妇女和平民的一系列有针对性的袭击，”“我们曾经怀疑以色列占领军不会放过这些人，现在可悲的是，事情就是这样。这就是占领军所说的‘安全’地区。”值得注意的是，此次被以军袭击的难民营地位于加沙南部。两个小时后，同样在袭击中受伤的达杜赫的孙子被宣布死亡。半岛电视台在一份声明中谴责称，“以色列占领军不分青红皂白的袭击导致达杜赫的妻子、儿子和女儿不幸丧生，他的其他家人被埋在瓦砾下，”他们在加沙一处难民营的住所成为袭击目标，他们曾在经历轰炸后流离失所，然后又在以色列总理内塔尼亚胡的要求下南迁并在那一营地寻求庇护。……见截图（文：环球网视频：半岛电视台）巴以冲突L从宇宙黑洞飞出火凤凰的微博视频,2023-10-26 17:22
144,加沙地带，以色列每天造成的惨剧都是骇人听闻的！这里是贾巴利亚难民营，今天以军在这里炸死至少100人！以色列伊朗称战争扩大将让以色列彻底毁灭L无心简影的微博视频,2023-10-31 23:43
145,巴勒斯坦儿童向普京求救：“请求您制止这场残酷的种族战争”，视频中可以听到轰炸声和炮击声。L观察者网的微博视频,2023-10-31 21:34
146,当他们说自己是和平定居者。,2023-04-03 08:46
147,成天打打杀杀，争个你死我活。争来争去，争的都是土地、资源，争一个生存权。可土地、资源这些，本就是大自然的馈赠，不是某人某家某族的！天斌人权，就不能好好协商沟通和平共享共存吗？那些只想独活不许他人活的都不是人，是魔鬼！,2023-10-30 11:35
148,哪里有通道能够帮助这些孩子，巴勒斯坦大使馆官方微博？伊朗大使馆微博？中国住巴勒斯坦国办事处？L段小丑鱼的微博视频,2023-10-30 13:13
149,以军攻进加沙后，将抓到的巴勒斯坦人衣服脱光捆起来，士兵对着哈马斯阵亡士兵的头部撒尿，这可比万圣节恐怖多了伊朗称战争扩大将让以色列彻底毁灭L帝吧官微的微博视频,2023-10-31 23:16
150,"介文汲怒斥：谁才是真正的刽子手！”2030年的""文明社会""竟然如此大规模杀害儿童！巴以冲突武统L武力统一的微博视频",2023-10-31 22:30
151,🇮🇱🇵🇸‼️🚨西岸希伯伦……以色列国防军像“世界上最有道德的军队”一样对待巴勒斯坦战俘恶心L大象搬砖的微博视频,2023-10-31 21:15
152,体制内不是退休金过高，是补贴过高。企业退休只有养老金，入一个银行帐号，而体制内退休，除了退休金，还另有一个帐号是发补贴的，五花八门，连领钱的人都说不清有几种，金额与退休金相当。体制内外的差别，由此而来。体制内很多有良知的人都觉得自已退休金太高了，同时间上班到后来转到体制内，有的还在企业，退休时差距近10倍，这是人做出来的事吗？退休费不应该实行年年涨，而应该是物价上涨代来的生活补贴，应该是所有退休人员的生活补贴，为此，就应该一視同仁，按上涨的比例，如100.200来统一计发生活补贴费，记住，叫物价上涨后的生活补贴，而不是退休费上涨，更不应该是按退休费的基数来计发！退休金在老年人手上，也是花在家庭上。退休金少的老人，比较节约，但不拖累子女。退休金多的老人，生活过得好一点，剩余的钱几乎是补贴子女家庭，没有多少老人抱着钱睡觉不放手。,2023-10-31 11:20
153,以下是海外网友总结的，中东各国针对巴以冲突的行为和态度，各自心怀鬼胎，凝聚力太差，不过也有好的，林林总总，仅供参考。（我个人觉得，最能装逼的就是土耳其两面三刀，心口不一）,2023-10-31 23:30
154,龙应台说的那句“我不在乎大国崛起，只在乎小民尊严”,2023-10-12 21:53
155,巴以冲突【危机加剧！加沙陷入饥荒，民众撬开联合国仓库哄抢粮食！】当地时间10月29日，联合国近东巴勒斯坦难民救济和工程处（UNRWA）的一处仓库在加沙遭到了数千名民众的闯入，洗劫民生物资。这一事件更是加剧了当地局势的紧张…….戳↓↓加沙数千人闯入联合国机构抢夺物资（国防时报·排头兵）L兵道之魂的微博视频,2023-10-31 19:06
156,【巴以冲突致加沙超3000名儿童死亡】当地时间29日，据巴勒斯坦媒体援引加沙地带卫生部门消息，本轮巴以冲突已造成加沙8005人死亡，其中包括3342名儿童、2062名妇女。另外还有至少1870人仍被埋在废墟下。（总台记者李享）,2023-10-29 19:39
157,俄乌局势新进展巴以冲突今天早上，俄军114摩步旅在阿夫迪夫卡的战斗中摧毁一辆豹2A6。操作手那“乌拉”劲，看样子能分到奖金L地球镜头Aa的微博视频,2023-10-31 18:22
158,巴勒斯坦加沙敢死队跪别家人要出征了，巴勒斯坦加沙敢死队跪别家人。他们是死士，抱定必死的决心，有去无回！这一幕，何其悲壮！又那么熟悉。我们的先辈也是如此，为了摆脱殖民，摆脱奴役，摆脱压迫，为了把敌人从自己的土地上赶出去，为了自主自由尊严的生活在自己的土地上，多少人丢了性命，失了家人。一个安定强大的国家，人民才能安居乐业。巴以冲突致这个动荡的世界中方敦促以色列停止蚕食巴勒斯坦人民土地和资源,2023-10-31 20:15
159,约旦河西岸，几名以色列军警围殴一名巴勒斯坦青年。巴以冲突L无心简影的微博视频,2023-10-30 01:34
160,一个巴勒斯坦少年的成长，告诉你哈马斯来自哪里巴以冲突已超9200人死亡加沙地带经历迄今为止最严重轰炸以色列声称联合国不具有合法性L长征后卫薛伯陵的微博视频,2023-10-29 10:33
161,以色列【犹太人对我们中国干过13件坏事】那些支持以色列的中国人好好听一听！L兰斌强的微博视频,2023-10-20 08:02
162,我国油价不合理的涨价调整机制，引发了公众的强烈不满，三桶油发明的算法，可以申请宇宙专利了，8块多钱，关键是还缺斤短两。关键是还干的年年亏损，自己亏损也算了还不让别人干。就按照这么先进的算法，就是涨到100块钱一升，也会照亏不误。官方给出的解释，是按照中国涨价机制，合理涨价的。2008年国际原油是每桶148美元，国内油价是5块六一升，2023年国际油价是每桶86美元，国内油价是八块六一升。确定这个算法不是套路吗？15年的时间，国际原油价格跌了将近一半，国内的汽油价格涨了将近一半。随着时间的推移，国际油价就是循环不涨，我们的油价，都能无休止的涨下去。首先油价涨价，对公众利益的影响，是显而易见的。随着油价的上涨，物流成本增加，物价也随之上涨。这意味着，公众将面临更高的出行成本和生活成本。而对于那些依赖汽车出行的家庭，将是一个巨大的负担。而面对国内油价，不受外界影响，连续上涨的问题，社会各方不约而同的表示强烈反对。难道大家都错了，只有三桶油是对的吗？再不采取有效的措施予以解决，恐怕会产生影响。改革油价调整机制，是当务之急。我们应该建立更加科学公正的机制，使油价能够真正反映国内市场的供需关系,2023-10-29 22:16
163,"【58分钟英字完整版】【纪录片.BBC.以色列的诞生.The.Birth.of.Israel.2008】以色列国，位于西亚西部的巴勒斯坦地区，1948年5月14日独立建国。根据联合国1947年巴勒斯坦分治决议，以色列面积1.52万平方千米。以色列与阿拉伯邻国多次发生冲突，经过五次中东战争后，以色列目前实际控制面积约2.5万平方千米。DocumentaryexaminingtheeventsleadingtotheIsraeliwarofIndependencein1949,itsimpactonArab/IsraelirelationsandtheimplicationsfortheMiddleEast.Madein2008.微博纪录片联盟，一起上大学，英语L猛犸君侯的微博视频",2023-10-26 18:38
164,【巴以冲突已致双方超2800人死亡】①以方称将在加沙地带发动大规模军事行动，叙利亚两地机场突遭以方空袭；②以方对加沙地带的“封锁”持续，当地人道主义危机加剧；③沙特伊朗积极斡旋，美英拱火巴以冲突……一文了解巴以本轮冲突最新情况↓↓O本轮巴以冲突已致双方超2800人死亡，战事愈演愈烈美国却持续拱火,2023-10-13 09:01
165,哥哥领着妹妹找弟弟，和哥哥团聚后，弟弟哭着找妈妈……唉以色列拒绝联合国停火决议L钢七连Unbreakable7的微博视频,2023-10-31 20:27
166,以色列称坚决拒绝停火巴勒斯坦居民：你们就是一群没有良心的野兽！黄媒不会说的真相L小凡好摄的微博视频,2023-10-30 21:54
167,以色列巴以冲突走向预测根据以色列国运对此次巴以冲突未来走向预测如下：10月壬戌，羊刃戌土美爹帮手来了，会抗衡外部势力，比较得势；11月癸亥就不好啦！外部压力大，美爹也泥菩萨自身难保，顾不上他了，会遭受新一轮的严峻打击，抢夺、侵占他国的土地会被部分吐回去；12月甲子月依旧比较难受，仍处于被动状态，直到1月乙丑月才会出现新的转机；2024甲辰年，农历7、8月还会遭受新一轮攻击，抢夺、侵占他国的土地会被部分吐回去；2025乙巳年，会有遭受致命打击，立国之基可能就会被动摇；2026进行乙丑大运，被以牙还牙的时代，曾经如何对待其他民族，未来就会收获相应优待，真是天道好轮回啊！从玄学视角解读巴勒斯坦命运及冲突走向：从玄学视角，简析以色列国运以及巴以冲突走向：,2023-10-12 19:52
168,以色列今天轰炸约旦河西岸的房子。L西江月如烟的微博视频,2023-10-31 23:14
169,加沙城内每天遭受轰炸至少四五百人死亡，瘟疫也来了。居住在AlShifa医院（希法医院）外难民营的巴勒斯坦人正遭受天花和腹泻等流行病的折磨。L繠繠笺注的微博视频,2023-10-27 11:06
170,更多以色列军队增援正在进攻被占领的约旦河西岸城镇图巴斯。L寰球镜头的微博视频,2023-10-31 22:00
171,【心疼！加沙幸存男孩被吓得浑身颤抖】直击加沙悲惨现状10月21日据环球军事，加沙遭多次空袭，1名废墟中救出的巴勒斯坦小男孩被吓懵，送医救治仍颤抖不止，眼底尽是恐惧…L难舍深蓝的微博视频,2023-10-22 17:29
172,石老师讲巴以冲突，92分钟完整版本。视频有点儿长呀，宝子们有点耐心啊，建议加快速度看。或者只听也行，石老师的北京口音普通话清晰明了，不看字幕也能听明白。L李铁柱之冠的微博视频,2023-10-21 13:46
173,美国犹太裔美国新闻记者、民主党人、专栏以及书籍作家，普利兹新闻奖的三届获奖者托马斯·弗里德曼（配图），在纽约时报就以色列和哈马斯战争发表的专栏文章。个人觉得水平很高，这博士那博士说那么多，加起来可能还不如这文章的一个字。以色列官员告诉我，他们确定两件事，实际上他们只有一个半生不熟的计划。,2023-10-31 10:53
174,【中方呼吁巴以冲突方立即实现人道休战】当地时间30日下午，联合国安理会应中国和阿联酋的要求召开巴以局势紧急公开会。会上，中方对巴以冲突提出4个郑重呼吁：①中方郑重呼吁冲突方停止一切敌对行动，立即脱离接触，实现人道休战，全力防止局势进一步升级。②中方郑重呼吁以色列作为占领方履行国际人道法义务，解除对加沙的全面封锁，立即撤销紧急疏散令，尽快恢复基本生存物资供应，防止更大规模人道灾难。③中方郑重呼吁加大外交努力，推动被扣押人员尽快获释，并争取由此开辟对话空间，让危机重回政治解决轨道。④中方郑重呼吁对当事方有独特影响的大国，摒弃自身私利和地缘政治考量，为制止战争、恢复和平作出一切努力。中国常驻联合国代表张军表示，如果没有全面停火，再多的人道援助都是杯水车薪。“加沙民众需要的，不只是安理会重申国际人道法的重要性，重复无法兑现的保护承诺，而是恢复和平、维护法治、拯救生命的切实行动。”“此时此刻，沉默意味着默许，不作为无异于开绿灯。全世界的目光正望向这里，历史将记录我们的选择。”@CCTV国际时讯LCCTV国际时讯的微博视频,2023-10-31 13:41
175,🔺根据IDF发布的视频进行地理定位，以军继续停留在拜特哈农北部的城乡结合部。中方呼吁巴以冲突方立即实现人道休战,2023-10-31 19:20
176,大部分人会觉得战争太残酷了，巴勒斯坦的孩子们太可怜了，没人管，没人保护，没吃没喝，好像一觉醒来都不知道是生是死。其实我想告诉大家，当你觉得战争很残酷的时候，当你觉得那些死去的孩子很可怜的时候。还记得，80年前我们都经历了什么？一个抗日战争打了14年，我们军民的伤亡总人数高达3500万。就现在所有冲突的国家，把他们的人口加起来有三千多万人吗？在那个年代，我们应该比现在任何有战争的国家都惨，我们比谁都渴望和平，可谁又来管我们了？是我们的战士，一步一个血脚印杀出来的，是我们的党带领我们走出来的。我们的安全，是他们给的，我们的安定，也是他们创造的，但这一切的一切却付出了沉重的代价。就像彭大将军和战士们说的那样，这一仗我们不打，就得我们的下一代打，我们不牺牲，就得子孙去牺牲，打得一拳开，免得百拳来。所以我想说，作为中国人我们要爱我们的国家，而且是无条件的必须去爱，无论何时何地我们都要拥护她，有她，才有我们现在的安定，她好，未来我们的子孙才会更好，愿世界和平。….缅甸印巴冲突南部战区回应菲护卫舰非法闯入印巴冲突,2023-10-30 22:23
177,巴称加沙北部杰巴利耶难民营遭以军空袭据巴勒斯坦加沙地带卫生部门称，今天（10月31日），加沙地带北部人口稠密的杰巴利耶难民营遭以军空袭，已造成超过50人死亡、约150人受伤，还有数十人被埋在废墟下。加沙地带北部的“印度尼西亚医院”方面也向半岛电视台证实了这一消息和伤亡数字。目前以色列方面对此暂无回应。LCCTV国际时讯的微博视频,2023-10-31 23:56
178,【美国前副总统彭斯宣布退出2024年总统竞选】当地时间10月28日，美国前副总统彭斯宣布，他将退出2024年的总统竞选。彭斯当天表示：“我很清楚，现在不是我的时代……我决定从今天起暂停竞选总统。”L长江云新闻的微博视频,2023-10-29 14:00
179,加沙的女孩上传战前的加沙视频。哈马斯加沙悲剧的始作俑者！L魔酒久久的微博视频,2023-10-31 09:22
180,【英媒发美政府在俄乌和巴以问题上双标视频】为什么说“美国政府认为巴勒斯坦人的生命无关紧要”？英国媒体发了这段对比视频L观察者网的微博视频,2023-10-31 14:01
181,以色列巴勒斯坦冲突一小时前，以色列空军再次展示最新的轰炸视频。黄媒不会说的真相L小凡好摄的微博视频,2023-10-16 20:18
182,青春树下诗词稿集民生微评军事瞭望梦斋笔谈国际军事巴以冲突中东军情走心视频为生命呐喊以色列人为什么要占领阿拉伯国家的土地实话实说中国搜索【渴望的种子】多想活着阴霾不再有多想活着阳光在哪里生命的源泉何处寻多想活着饥渴恐惧向往家到底在何方多想活着血凝的河流烧红的土地嵌着岁月多少孤寂与无奈多想活着带毒的空气让人窒息愤怒的火焰在燃烧渴望的种子不再沉默和顺从冲出牢笼为自由而战时代英雄故事将永远传承L知名评论谢御宏的微博视频专栏·军史纪实！专栏·民生态势！,2023-10-31 21:42
